"indicator","sex","given","l","m","s"
"wfh",1,56.9,-0.3521,5.0966,0.08486
"wfh",1,57,-0.3521,5.1259,0.08481
"wfh",1,57.1,-0.3521,5.1551,0.08475
"wfh",1,57.2,-0.3521,5.1844,0.0847
"wfh",1,57.3,-0.3521,5.2137,0.08465
"wfh",1,57.4,-0.3521,5.2429,0.0846
"wfh",1,57.5,-0.3521,5.2721,0.08455
"wfh",1,57.6,-0.3521,5.3014,0.08449
"wfh",1,57.7,-0.3521,5.3306,0.08444
"wfh",1,57.8,-0.3521,5.3598,0.08439
"wfh",1,57.9,-0.3521,5.3889,0.08434
"wfh",1,58,-0.3521,5.418,0.0843
"wfh",1,58.1,-0.3521,5.4471,0.08425
"wfh",1,58.2,-0.3521,5.4762,0.0842
"wfh",1,58.3,-0.3521,5.5053,0.08415
"wfh",1,58.4,-0.3521,5.5343,0.0841
"wfh",1,58.5,-0.3521,5.5632,0.08406
"wfh",1,58.6,-0.3521,5.5922,0.08401
"wfh",1,58.7,-0.3521,5.621,0.08397
"wfh",1,58.8,-0.3521,5.6499,0.08392
"wfh",1,58.9,-0.3521,5.6787,0.08388
"wfh",1,59,-0.3521,5.7074,0.08383
"wfh",1,59.1,-0.3521,5.7361,0.08379
"wfh",1,59.2,-0.3521,5.7647,0.08375
"wfh",1,59.3,-0.3521,5.7933,0.0837
"wfh",1,59.4,-0.3521,5.8217,0.08366
"wfh",1,59.5,-0.3521,5.8501,0.08362
"wfh",1,59.6,-0.3521,5.8784,0.08358
"wfh",1,59.7,-0.3521,5.9067,0.08354
"wfh",1,59.8,-0.3521,5.9348,0.0835
"wfh",1,59.9,-0.3521,5.9628,0.08346
"wfh",1,60,-0.3521,5.9907,0.08342
"wfh",1,60.1,-0.3521,6.0185,0.08339
"wfh",1,60.2,-0.3521,6.0461,0.08335
"wfh",1,60.3,-0.3521,6.0737,0.08331
"wfh",1,60.4,-0.3521,6.1011,0.08328
"wfh",1,60.5,-0.3521,6.1284,0.08324
"wfh",1,60.6,-0.3521,6.1556,0.08321
"wfh",1,60.7,-0.3521,6.1827,0.08317
"wfh",1,60.8,-0.3521,6.2096,0.08314
"wfh",1,60.9,-0.3521,6.2365,0.08311
"wfh",1,61,-0.3521,6.2632,0.08308
"wfh",1,61.1,-0.3521,6.2899,0.08304
"wfh",1,61.2,-0.3521,6.3164,0.08301
"wfh",1,61.3,-0.3521,6.3428,0.08298
"wfh",1,61.4,-0.3521,6.3692,0.08295
"wfh",1,61.5,-0.3521,6.3954,0.08292
"wfh",1,61.6,-0.3521,6.4215,0.0829
"wfh",1,61.7,-0.3521,6.4475,0.08287
"wfh",1,61.8,-0.3521,6.4735,0.08284
"wfh",1,61.9,-0.3521,6.4993,0.08281
"wfh",1,62,-0.3521,6.5251,0.08279
"wfh",1,62.1,-0.3521,6.5508,0.08276
"wfh",1,62.2,-0.3521,6.5764,0.08273
"wfh",1,62.3,-0.3521,6.6019,0.08271
"wfh",1,62.4,-0.3521,6.6273,0.08268
"wfh",1,62.5,-0.3521,6.6527,0.08266
"wfh",1,62.6,-0.3521,6.678,0.08264
"wfh",1,62.7,-0.3521,6.7033,0.08261
"wfh",1,62.8,-0.3521,6.7284,0.08259
"wfh",1,62.9,-0.3521,6.7535,0.08257
"wfh",1,63,-0.3521,6.7786,0.08255
"wfh",1,63.1,-0.3521,6.8035,0.08253
"wfh",1,63.2,-0.3521,6.8285,0.08251
"wfh",1,63.3,-0.3521,6.8533,0.08249
"wfh",1,63.4,-0.3521,6.8781,0.08247
"wfh",1,63.5,-0.3521,6.9028,0.08245
"wfh",1,63.6,-0.3521,6.9275,0.08243
"wfh",1,63.7,-0.3521,6.9521,0.08241
"wfh",1,63.8,-0.3521,6.9766,0.0824
"wfh",1,63.9,-0.3521,7.0011,0.08238
"wfh",1,64,-0.3521,7.0255,0.08236
"wfh",1,64.1,-0.3521,7.0499,0.08235
"wfh",1,64.2,-0.3521,7.0742,0.08233
"wfh",1,64.3,-0.3521,7.0984,0.08232
"wfh",1,64.4,-0.3521,7.1226,0.0823
"wfh",1,64.5,-0.3521,7.1467,0.08229
"wfh",1,64.6,-0.3521,7.1708,0.08228
"wfh",1,64.7,-0.3521,7.1948,0.08227
"wfh",1,64.8,-0.3521,7.2188,0.08225
"wfh",1,64.9,-0.3521,7.2427,0.08224
"wfh",1,65,-0.3521,7.2666,0.08223
"wfh",1,65.1,-0.3521,7.2905,0.08222
"wfh",1,65.2,-0.3521,7.3143,0.08221
"wfh",1,65.3,-0.3521,7.338,0.0822
"wfh",1,65.4,-0.3521,7.3617,0.08219
"wfh",1,65.5,-0.3521,7.3854,0.08218
"wfh",1,65.6,-0.3521,7.4091,0.08218
"wfh",1,65.7,-0.3521,7.4327,0.08217
"wfh",1,65.8,-0.3521,7.4563,0.08216
"wfh",1,65.9,-0.3521,7.4799,0.08216
"wfh",1,66,-0.3521,7.5034,0.08215
"wfh",1,66.1,-0.3521,7.5269,0.08214
"wfh",1,66.2,-0.3521,7.5504,0.08214
"wfh",1,66.3,-0.3521,7.5738,0.08214
"wfh",1,66.4,-0.3521,7.5973,0.08213
"wfh",1,66.5,-0.3521,7.6206,0.08213
"wfh",1,66.6,-0.3521,7.644,0.08213
"wfh",1,66.7,-0.3521,7.6673,0.08212
"wfh",1,66.8,-0.3521,7.6906,0.08212
"wfh",1,66.9,-0.3521,7.7138,0.08212
"wfh",1,67,-0.3521,7.737,0.08212
"wfh",1,67.1,-0.3521,7.7602,0.08212
"wfh",1,67.2,-0.3521,7.7834,0.08212
"wfh",1,67.3,-0.3521,7.8065,0.08212
"wfh",1,67.4,-0.3521,7.8296,0.08212
"wfh",1,67.5,-0.3521,7.8526,0.08212
"wfh",1,67.6,-0.3521,7.8757,0.08212
"wfh",1,67.7,-0.3521,7.8986,0.08213
"wfh",1,67.8,-0.3521,7.9216,0.08213
"wfh",1,67.9,-0.3521,7.9445,0.08213
"wfh",1,68,-0.3521,7.9674,0.08214
"wfh",1,68.1,-0.3521,7.9903,0.08214
"wfh",1,68.2,-0.3521,8.0132,0.08214
"wfh",1,68.3,-0.3521,8.036,0.08215
"wfh",1,68.4,-0.3521,8.0588,0.08215
"wfh",1,68.5,-0.3521,8.0816,0.08216
"wfh",1,68.6,-0.3521,8.1044,0.08217
"wfh",1,68.7,-0.3521,8.1272,0.08217
"wfh",1,68.8,-0.3521,8.15,0.08218
"wfh",1,68.9,-0.3521,8.1727,0.08219
"wfh",1,69,-0.3521,8.1955,0.08219
"wfh",1,69.1,-0.3521,8.2183,0.0822
"wfh",1,69.2,-0.3521,8.241,0.08221
"wfh",1,69.3,-0.3521,8.2638,0.08222
"wfh",1,69.4,-0.3521,8.2865,0.08223
"wfh",1,69.5,-0.3521,8.3092,0.08224
"wfh",1,69.6,-0.3521,8.332,0.08225
"wfh",1,69.7,-0.3521,8.3547,0.08226
"wfh",1,69.8,-0.3521,8.3774,0.08227
"wfh",1,69.9,-0.3521,8.4001,0.08228
"wfh",1,70,-0.3521,8.4227,0.08229
"wfh",1,70.1,-0.3521,8.4454,0.0823
"wfh",1,70.2,-0.3521,8.468,0.08231
"wfh",1,70.3,-0.3521,8.4906,0.08232
"wfh",1,70.4,-0.3521,8.5132,0.08233
"wfh",1,70.5,-0.3521,8.5358,0.08235
"wfh",1,70.6,-0.3521,8.5583,0.08236
"wfh",1,70.7,-0.3521,8.5808,0.08237
"wfh",1,70.8,-0.3521,8.6032,0.08238
"wfh",1,70.9,-0.3521,8.6257,0.0824
"wfh",1,71,-0.3521,8.648,0.08241
"wfh",1,71.1,-0.3521,8.6704,0.08242
"wfh",1,71.2,-0.3521,8.6927,0.08243
"wfh",1,71.3,-0.3521,8.715,0.08245
"wfh",1,71.4,-0.3521,8.7372,0.08246
"wfh",1,71.5,-0.3521,8.7594,0.08248
"wfh",1,71.6,-0.3521,8.7815,0.08249
"wfh",1,71.7,-0.3521,8.8036,0.0825
"wfh",1,71.8,-0.3521,8.8257,0.08252
"wfh",1,71.9,-0.3521,8.8477,0.08253
"wfh",1,72,-0.3521,8.8697,0.08254
"wfh",1,72.1,-0.3521,8.8916,0.08256
"wfh",1,72.2,-0.3521,8.9135,0.08257
"wfh",1,72.3,-0.3521,8.9353,0.08259
"wfh",1,72.4,-0.3521,8.9571,0.0826
"wfh",1,72.5,-0.3521,8.9788,0.08262
"wfh",1,72.6,-0.3521,9.0005,0.08263
"wfh",1,72.7,-0.3521,9.0221,0.08264
"wfh",1,72.8,-0.3521,9.0436,0.08266
"wfh",1,72.9,-0.3521,9.0651,0.08267
"wfh",1,73,-0.3521,9.0865,0.08269
"wfh",1,73.1,-0.3521,9.1079,0.0827
"wfh",1,73.2,-0.3521,9.1292,0.08272
"wfh",1,73.3,-0.3521,9.1504,0.08273
"wfh",1,73.4,-0.3521,9.1716,0.08274
"wfh",1,73.5,-0.3521,9.1927,0.08276
"wfh",1,73.6,-0.3521,9.2137,0.08277
"wfh",1,73.7,-0.3521,9.2347,0.08278
"wfh",1,73.8,-0.3521,9.2557,0.0828
"wfh",1,73.9,-0.3521,9.2766,0.08281
"wfh",1,74,-0.3521,9.2974,0.08283
"wfh",1,74.1,-0.3521,9.3182,0.08284
"wfh",1,74.2,-0.3521,9.339,0.08285
"wfh",1,74.3,-0.3521,9.3597,0.08287
"wfh",1,74.4,-0.3521,9.3803,0.08288
"wfh",1,74.5,-0.3521,9.401,0.08289
"wfh",1,74.6,-0.3521,9.4215,0.0829
"wfh",1,74.7,-0.3521,9.442,0.08292
"wfh",1,74.8,-0.3521,9.4625,0.08293
"wfh",1,74.9,-0.3521,9.4829,0.08294
"wfh",1,75,-0.3521,9.5032,0.08295
"wfh",1,75.1,-0.3521,9.5235,0.08297
"wfh",1,75.2,-0.3521,9.5438,0.08298
"wfh",1,75.3,-0.3521,9.5639,0.08299
"wfh",1,75.4,-0.3521,9.5841,0.083
"wfh",1,75.5,-0.3521,9.6041,0.08301
"wfh",1,75.6,-0.3521,9.6241,0.08302
"wfh",1,75.7,-0.3521,9.644,0.08303
"wfh",1,75.8,-0.3521,9.6639,0.08305
"wfh",1,75.9,-0.3521,9.6836,0.08306
"wfh",1,76,-0.3521,9.7033,0.08307
"wfh",1,76.1,-0.3521,9.723,0.08307
"wfh",1,76.2,-0.3521,9.7425,0.08308
"wfh",1,76.3,-0.3521,9.762,0.08309
"wfh",1,76.4,-0.3521,9.7814,0.0831
"wfh",1,76.5,-0.3521,9.8007,0.08311
"wfh",1,76.6,-0.3521,9.82,0.08312
"wfh",1,76.7,-0.3521,9.8392,0.08312
"wfh",1,76.8,-0.3521,9.8583,0.08313
"wfh",1,76.9,-0.3521,9.8773,0.08314
"wfh",1,77,-0.3521,9.8963,0.08314
"wfh",1,77.1,-0.3521,9.9152,0.08315
"wfh",1,77.2,-0.3521,9.9341,0.08315
"wfh",1,77.3,-0.3521,9.9528,0.08316
"wfh",1,77.4,-0.3521,9.9716,0.08316
"wfh",1,77.5,-0.3521,9.9902,0.08317
"wfh",1,77.6,-0.3521,10.0088,0.08317
"wfh",1,77.7,-0.3521,10.0274,0.08317
"wfh",1,77.8,-0.3521,10.0459,0.08318
"wfh",1,77.9,-0.3521,10.0643,0.08318
"wfh",1,78,-0.3521,10.0827,0.08318
"wfh",1,78.1,-0.3521,10.1011,0.08318
"wfh",1,78.2,-0.3521,10.1194,0.08318
"wfh",1,78.3,-0.3521,10.1377,0.08318
"wfh",1,78.4,-0.3521,10.1559,0.08318
"wfh",1,78.5,-0.3521,10.1741,0.08318
"wfh",1,78.6,-0.3521,10.1923,0.08317
"wfh",1,78.7,-0.3521,10.2105,0.08317
"wfh",1,78.8,-0.3521,10.2286,0.08317
"wfh",1,78.9,-0.3521,10.2468,0.08316
"wfh",1,79,-0.3521,10.2649,0.08316
"wfh",1,79.1,-0.3521,10.2831,0.08315
"wfh",1,79.2,-0.3521,10.3012,0.08315
"wfh",1,79.3,-0.3521,10.3194,0.08314
"wfh",1,79.4,-0.3521,10.3376,0.08313
"wfh",1,79.5,-0.3521,10.3558,0.08313
"wfh",1,79.6,-0.3521,10.3741,0.08312
"wfh",1,79.7,-0.3521,10.3923,0.08311
"wfh",1,79.8,-0.3521,10.4107,0.0831
"wfh",1,79.9,-0.3521,10.4291,0.08309
"wfh",1,80,-0.3521,10.4475,0.08308
"wfh",1,80.1,-0.3521,10.466,0.08307
"wfh",1,80.2,-0.3521,10.4845,0.08305
"wfh",1,80.3,-0.3521,10.5031,0.08304
"wfh",1,80.4,-0.3521,10.5217,0.08303
"wfh",1,80.5,-0.3521,10.5405,0.08301
"wfh",1,80.6,-0.3521,10.5592,0.083
"wfh",1,80.7,-0.3521,10.5781,0.08298
"wfh",1,80.8,-0.3521,10.597,0.08297
"wfh",1,80.9,-0.3521,10.6161,0.08295
"wfh",1,81,-0.3521,10.6352,0.08293
"wfh",1,81.1,-0.3521,10.6544,0.08291
"wfh",1,81.2,-0.3521,10.6737,0.0829
"wfh",1,81.3,-0.3521,10.6931,0.08288
"wfh",1,81.4,-0.3521,10.7126,0.08286
"wfh",1,81.5,-0.3521,10.7322,0.08284
"wfh",1,81.6,-0.3521,10.752,0.08282
"wfh",1,81.7,-0.3521,10.7718,0.08279
"wfh",1,81.8,-0.3521,10.7918,0.08277
"wfh",1,81.9,-0.3521,10.8119,0.08275
"wfh",1,82,-0.3521,10.8321,0.08273
"wfh",1,82.1,-0.3521,10.8524,0.0827
"wfh",1,82.2,-0.3521,10.8728,0.08268
"wfh",1,82.3,-0.3521,10.8934,0.08265
"wfh",1,82.4,-0.3521,10.9142,0.08263
"wfh",1,82.5,-0.3521,10.935,0.0826
"wfh",1,82.6,-0.3521,10.956,0.08258
"wfh",1,82.7,-0.3521,10.9772,0.08255
"wfh",1,82.8,-0.3521,10.9985,0.08252
"wfh",1,82.9,-0.3521,11.0199,0.08249
"wfh",1,83,-0.3521,11.0415,0.08246
"wfh",1,83.1,-0.3521,11.0632,0.08244
"wfh",1,83.2,-0.3521,11.0851,0.08241
"wfh",1,83.3,-0.3521,11.1071,0.08238
"wfh",1,83.4,-0.3521,11.1293,0.08235
"wfh",1,83.5,-0.3521,11.1516,0.08231
"wfh",1,83.6,-0.3521,11.174,0.08228
"wfh",1,83.7,-0.3521,11.1966,0.08225
"wfh",1,83.8,-0.3521,11.2193,0.08222
"wfh",1,83.9,-0.3521,11.2422,0.08219
"wfh",1,84,-0.3521,11.2651,0.08215
"wfh",1,84.1,-0.3521,11.2882,0.08212
"wfh",1,84.2,-0.3521,11.3114,0.08209
"wfh",1,84.3,-0.3521,11.3347,0.08205
"wfh",1,84.4,-0.3521,11.3581,0.08202
"wfh",1,84.5,-0.3521,11.3817,0.08198
"wfh",1,84.6,-0.3521,11.4053,0.08195
"wfh",1,84.7,-0.3521,11.429,0.08191
"wfh",1,84.8,-0.3521,11.4529,0.08188
"wfh",1,84.9,-0.3521,11.4768,0.08184
"wfh",1,85,-0.3521,11.6707,0.08156
"wfh",1,85.1,-0.3521,11.6952,0.08152
"wfh",1,85.2,-0.3521,11.7198,0.08148
"wfh",1,85.3,-0.3521,11.7444,0.08145
"wfh",1,85.4,-0.3521,11.769,0.08141
"wfh",1,85.5,-0.3521,11.7937,0.08138
"wfh",1,85.6,-0.3521,11.8184,0.08134
"wfh",1,85.7,-0.3521,11.8431,0.08131
"wfh",1,85.8,-0.3521,11.8678,0.08128
"wfh",1,85.9,-0.3521,11.8926,0.08124
"wfh",1,86,-0.3521,11.9173,0.08121
"wfh",1,86.1,-0.3521,11.9421,0.08118
"wfh",1,86.2,-0.3521,11.9668,0.08114
"wfh",1,86.3,-0.3521,11.9916,0.08111
"wfh",1,86.4,-0.3521,12.0163,0.08108
"wfh",1,86.5,-0.3521,12.0411,0.08105
"wfh",1,86.6,-0.3521,12.0658,0.08102
"wfh",1,86.7,-0.3521,12.0905,0.08099
"wfh",1,86.8,-0.3521,12.1152,0.08096
"wfh",1,86.9,-0.3521,12.1398,0.08093
"wfh",1,87,-0.3521,12.1645,0.0809
"wfh",1,87.1,-0.3521,12.1891,0.08087
"wfh",1,87.2,-0.3521,12.2136,0.08084
"wfh",1,87.3,-0.3521,12.2382,0.08082
"wfh",1,87.4,-0.3521,12.2627,0.08079
"wfh",1,87.5,-0.3521,12.2871,0.08076
"wfh",1,87.6,-0.3521,12.3116,0.08074
"wfh",1,87.7,-0.3521,12.336,0.08071
"wfh",1,87.8,-0.3521,12.3603,0.08069
"wfh",1,87.9,-0.3521,12.3846,0.08067
"wfh",1,88,-0.3521,12.4089,0.08064
"wfh",1,88.1,-0.3521,12.4332,0.08062
"wfh",1,88.2,-0.3521,12.4574,0.0806
"wfh",1,88.3,-0.3521,12.4815,0.08058
"wfh",1,88.4,-0.3521,12.5057,0.08056
"wfh",1,88.5,-0.3521,12.5298,0.08054
"wfh",1,88.6,-0.3521,12.5538,0.08052
"wfh",1,88.7,-0.3521,12.5778,0.0805
"wfh",1,88.8,-0.3521,12.6017,0.08048
"wfh",1,88.9,-0.3521,12.6257,0.08047
"wfh",1,89,-0.3521,12.6495,0.08045
"wfh",1,89.1,-0.3521,12.6734,0.08044
"wfh",1,89.2,-0.3521,12.6972,0.08042
"wfh",1,89.3,-0.3521,12.7209,0.08041
"wfh",1,89.4,-0.3521,12.7446,0.08039
"wfh",1,89.5,-0.3521,12.7683,0.08038
"wfh",1,89.6,-0.3521,12.792,0.08037
"wfh",1,89.7,-0.3521,12.8156,0.08035
"wfh",1,89.8,-0.3521,12.8392,0.08034
"wfh",1,89.9,-0.3521,12.8628,0.08033
"wfh",1,90,-0.3521,12.8864,0.08032
"wfh",1,90.1,-0.3521,12.9099,0.08031
"wfh",1,90.2,-0.3521,12.9334,0.0803
"wfh",1,90.3,-0.3521,12.9569,0.0803
"wfh",1,90.4,-0.3521,12.9804,0.08029
"wfh",1,90.5,-0.3521,13.0038,0.08028
"wfh",1,90.6,-0.3521,13.0273,0.08027
"wfh",1,90.7,-0.3521,13.0507,0.08027
"wfh",1,90.8,-0.3521,13.0742,0.08026
"wfh",1,90.9,-0.3521,13.0976,0.08026
"wfh",1,91,-0.3521,13.1209,0.08025
"wfh",1,91.1,-0.3521,13.1443,0.08025
"wfh",1,91.2,-0.3521,13.1677,0.08025
"wfh",1,91.3,-0.3521,13.191,0.08025
"wfh",1,91.4,-0.3521,13.2143,0.08025
"wfh",1,91.5,-0.3521,13.2376,0.08024
"wfh",1,91.6,-0.3521,13.2609,0.08024
"wfh",1,91.7,-0.3521,13.2842,0.08024
"wfh",1,91.8,-0.3521,13.3075,0.08025
"wfh",1,91.9,-0.3521,13.3308,0.08025
"wfh",1,92,-0.3521,13.3541,0.08025
"wfh",1,92.1,-0.3521,13.3773,0.08025
"wfh",1,92.2,-0.3521,13.4006,0.08026
"wfh",1,92.3,-0.3521,13.4239,0.08026
"wfh",1,92.4,-0.3521,13.4472,0.08027
"wfh",1,92.5,-0.3521,13.4705,0.08027
"wfh",1,92.6,-0.3521,13.4937,0.08028
"wfh",1,92.7,-0.3521,13.5171,0.08028
"wfh",1,92.8,-0.3521,13.5404,0.08029
"wfh",1,92.9,-0.3521,13.5637,0.0803
"wfh",1,93,-0.3521,13.587,0.08031
"wfh",1,93.1,-0.3521,13.6104,0.08032
"wfh",1,93.2,-0.3521,13.6338,0.08033
"wfh",1,93.3,-0.3521,13.6572,0.08034
"wfh",1,93.4,-0.3521,13.6806,0.08035
"wfh",1,93.5,-0.3521,13.7041,0.08036
"wfh",1,93.6,-0.3521,13.7275,0.08037
"wfh",1,93.7,-0.3521,13.751,0.08038
"wfh",1,93.8,-0.3521,13.7746,0.0804
"wfh",1,93.9,-0.3521,13.7981,0.08041
"wfh",1,94,-0.3521,13.8217,0.08043
"wfh",1,94.1,-0.3521,13.8454,0.08044
"wfh",1,94.2,-0.3521,13.8691,0.08046
"wfh",1,94.3,-0.3521,13.8928,0.08047
"wfh",1,94.4,-0.3521,13.9165,0.08049
"wfh",1,94.5,-0.3521,13.9403,0.08051
"wfh",1,94.6,-0.3521,13.9642,0.08052
"wfh",1,94.7,-0.3521,13.9881,0.08054
"wfh",1,94.8,-0.3521,14.012,0.08056
"wfh",1,94.9,-0.3521,14.036,0.08058
"wfh",1,95,-0.3521,14.06,0.0806
"wfh",1,95.1,-0.3521,14.0841,0.08062
"wfh",1,95.2,-0.3521,14.1083,0.08064
"wfh",1,95.3,-0.3521,14.1325,0.08067
"wfh",1,95.4,-0.3521,14.1567,0.08069
"wfh",1,95.5,-0.3521,14.1811,0.08071
"wfh",1,95.6,-0.3521,14.2055,0.08073
"wfh",1,95.7,-0.3521,14.2299,0.08076
"wfh",1,95.8,-0.3521,14.2544,0.08078
"wfh",1,95.9,-0.3521,14.279,0.08081
"wfh",1,96,-0.3521,14.3037,0.08083
"wfh",1,96.1,-0.3521,14.3284,0.08086
"wfh",1,96.2,-0.3521,14.3533,0.08089
"wfh",1,96.3,-0.3521,14.3782,0.08092
"wfh",1,96.4,-0.3521,14.4031,0.08094
"wfh",1,96.5,-0.3521,14.4282,0.08097
"wfh",1,96.6,-0.3521,14.4533,0.081
"wfh",1,96.7,-0.3521,14.4785,0.08103
"wfh",1,96.8,-0.3521,14.5038,0.08106
"wfh",1,96.9,-0.3521,14.5292,0.08109
"wfh",1,97,-0.3521,14.5547,0.08112
"wfh",1,97.1,-0.3521,14.5802,0.08116
"wfh",1,97.2,-0.3521,14.6058,0.08119
